#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-9.94E-05,1.071773863,-3.415205244
-9.93E-05,1.03148746,-3.455183946
-9.93E-05,1.03148746,-3.455183946
-9.93E-05,1.03148746,-3.455183946
-9.93E-05,0.991201056,-3.455183946
-9.92E-05,0.991201056,-3.455183946
-9.92E-05,0.910628248,-3.495162647
-9.92E-05,0.950914652,-3.455183946
-9.92E-05,0.910628248,-3.495162647
-9.91E-05,0.910628248,-3.495162647
-9.91E-05,0.910628248,-3.495162647
-9.91E-05,0.870341844,-3.535141349
-9.91E-05,0.870341844,-3.535141349
-9.90E-05,0.870341844,-3.535141349
-9.90E-05,0.83005544,-3.535141349
-9.90E-05,0.83005544,-3.535141349
-9.90E-05,0.789769036,-3.57512005
-9.89E-05,0.789769036,-3.535141349
-9.89E-05,0.749482632,-3.535141349
-9.89E-05,0.749482632,-3.57512005
-9.89E-05,0.749482632,-3.57512005
-9.88E-05,0.749482632,-3.57512005
-9.88E-05,0.709196228,-3.57512005
-9.88E-05,0.709196228,-3.57512005
-9.88E-05,0.668909824,-3.615098752
-9.87E-05,0.668909824,-3.615098752
-9.87E-05,0.668909824,-3.615098752
-9.87E-05,0.628623421,-3.615098752
-9.87E-05,0.628623421,-3.615098752
-9.86E-05,0.588337017,-3.655077453
-9.86E-05,0.588337017,-3.655077453
-9.86E-05,0.588337017,-3.615098752
-9.86E-05,0.548050613,-3.615098752
-9.85E-05,0.548050613,-3.615098752
-9.85E-05,0.507764209,-3.655077453
-9.85E-05,0.507764209,-3.655077453
-9.85E-05,0.507764209,-3.655077453
-9.84E-05,0.467477805,-3.655077453
-9.84E-05,0.467477805,-3.655077453
-9.84E-05,0.427191401,-3.695056155
-9.84E-05,0.427191401,-3.695056155
-9.83E-05,0.427191401,-3.695056155
-9.83E-05,0.427191401,-3.695056155
-9.83E-05,0.386904997,-3.695056155
-9.83E-05,0.346618593,-3.695056155
-9.82E-05,0.386904997,-3.695056155
-9.82E-05,0.346618593,-3.695056155
-9.82E-05,0.306332189,-3.735034856
-9.82E-05,0.306332189,-3.735034856
-9.81E-05,0.266045786,-3.735034856
-9.81E-05,0.266045786,-3.735034856
-9.81E-05,0.266045786,-3.735034856
-9.81E-05,0.225759382,-3.775013558
-9.80E-05,0.225759382,-3.775013558
-9.80E-05,0.225759382,-3.775013558
-9.80E-05,0.225759382,-3.775013558
-9.80E-05,0.225759382,-3.775013558
-9.79E-05,0.185472978,-3.775013558
-9.79E-05,0.145186574,-3.775013558
-9.79E-05,0.145186574,-3.775013558
-9.79E-05,0.145186574,-3.814992259
-9.78E-05,0.10490017,-3.814992259
-9.78E-05,0.064613766,-3.814992259
-9.78E-05,0.064613766,-3.814992259
-9.78E-05,0.064613766,-3.814992259
-9.77E-05,0.064613766,-3.814992259
-9.77E-05,0.024327362,-3.854970961
-9.77E-05,0.024327362,-3.854970961
-9.77E-05,0.024327362,-3.854970961
-9.76E-05,-0.015959042,-3.854970961
-9.76E-05,-0.015959042,-3.854970961
-9.76E-05,-0.015959042,-3.854970961
-9.76E-05,-0.056245446,-3.854970961
-9.75E-05,-0.056245446,-3.854970961
-9.75E-05,-0.09653185,-3.854970961
-9.75E-05,-0.09653185,-3.894949662
-9.75E-05,-0.09653185,-3.854970961
-9.74E-05,-0.136818253,-3.894949662
-9.74E-05,-0.136818253,-3.894949662
-9.74E-05,-0.136818253,-3.894949662
-9.74E-05,-0.136818253,-3.854970961
-9.73E-05,-0.177104657,-3.894949662
-9.73E-05,-0.177104657,-3.894949662
-9.73E-05,-0.217391061,-3.894949662
-9.73E-05,-0.217391061,-3.894949662
-9.72E-05,-0.217391061,-3.934928364
-9.72E-05,-0.217391061,-3.894949662
-9.72E-05,-0.257677465,-3.934928364
-9.72E-05,-0.297963869,-3.934928364
-9.71E-05,-0.297963869,-3.934928364
-9.71E-05,-0.338250273,-3.934928364
-9.71E-05,-0.338250273,-3.934928364
-9.71E-05,-0.338250273,-3.974907065
-9.70E-05,-0.378536677,-3.974907065
-9.70E-05,-0.378536677,-3.934928364
-9.70E-05,-0.378536677,-3.974907065
-9.70E-05,-0.418823081,-3.974907065
-9.69E-05,-0.459109485,-3.974907065
-9.69E-05,-0.459109485,-4.014885767
-9.69E-05,-0.459109485,-4.014885767
-9.69E-05,-0.499395888,-3.974907065
-9.68E-05,-0.499395888,-4.014885767
-9.68E-05,-0.499395888,-4.014885767
-9.68E-05,-0.539682292,-4.014885767
-9.68E-05,-0.539682292,-4.014885767
-9.67E-05,-0.579968696,-4.014885767
-9.67E-05,-0.579968696,-4.054864468
-9.67E-05,-0.579968696,-4.014885767
-9.67E-05,-0.6202551,-4.054864468
-9.66E-05,-0.6202551,-4.054864468
-9.66E-05,-0.6202551,-4.054864468
-9.66E-05,-0.660541504,-4.054864468
-9.66E-05,-0.660541504,-4.054864468
-9.65E-05,-0.660541504,-4.054864468
-9.65E-05,-0.700827908,-4.054864468
-9.65E-05,-0.700827908,-4.054864468
-9.65E-05,-0.741114312,-4.09484317
-9.64E-05,-0.741114312,-4.09484317
-9.64E-05,-0.781400716,-4.09484317
-9.64E-05,-0.781400716,-4.09484317
-9.64E-05,-0.781400716,-4.09484317
-9.63E-05,-0.82168712,-4.09484317
-9.63E-05,-0.82168712,-4.09484317
-9.63E-05,-0.82168712,-4.09484317
-9.63E-05,-0.82168712,-4.09484317
-9.62E-05,-0.861973524,-4.134821871
-9.62E-05,-0.861973524,-4.134821871
-9.62E-05,-0.861973524,-4.09484317
-9.62E-05,-0.902259927,-4.134821871
-9.61E-05,-0.902259927,-4.134821871
-9.61E-05,-0.942546331,-4.134821871
-9.61E-05,-0.942546331,-4.134821871
-9.61E-05,-0.982832735,-4.134821871
-9.60E-05,-1.023119139,-4.134821871
-9.60E-05,-1.023119139,-4.134821871
-9.60E-05,-1.023119139,-4.174800573
-9.60E-05,-1.063405543,-4.174800573
-9.59E-05,-1.063405543,-4.174800573
-9.59E-05,-1.063405543,-4.174800573
-9.59E-05,-1.103691947,-4.174800573
-9.59E-05,-1.103691947,-4.174800573
-9.58E-05,-1.143978351,-4.214779274
-9.58E-05,-1.143978351,-4.214779274
-9.58E-05,-1.143978351,-4.214779274
-9.58E-05,-1.143978351,-4.214779274
-9.57E-05,-1.184264755,-4.214779274
-9.57E-05,-1.184264755,-4.214779274
-9.57E-05,-1.224551159,-4.214779274
-9.57E-05,-1.224551159,-4.214779274
-9.56E-05,-1.264837562,-4.254757976
-9.56E-05,-1.224551159,-4.214779274
-9.56E-05,-1.264837562,-4.214779274
-9.56E-05,-1.264837562,-4.254757976
-9.55E-05,-1.305123966,-4.254757976
-9.55E-05,-1.305123966,-4.254757976
-9.55E-05,-1.305123966,-4.254757976
-9.55E-05,-1.34541037,-4.254757976
-9.54E-05,-1.34541037,-4.254757976
-9.54E-05,-1.385696774,-4.254757976
-9.54E-05,-1.385696774,-4.294736677
-9.54E-05,-1.425983178,-4.254757976
-9.53E-05,-1.425983178,-4.294736677
-9.53E-05,-1.425983178,-4.254757976
-9.53E-05,-1.466269582,-4.254757976
-9.53E-05,-1.466269582,-4.294736677
-9.52E-05,-1.466269582,-4.294736677
-9.52E-05,-1.466269582,-4.254757976
-9.52E-05,-1.506555986,-4.294736677
-9.52E-05,-1.54684239,-4.294736677
-9.51E-05,-1.54684239,-4.334715379
-9.51E-05,-1.54684239,-4.294736677
-9.51E-05,-1.54684239,-4.294736677
-9.51E-05,-1.587128794,-4.294736677
-9.50E-05,-1.587128794,-4.294736677
-9.50E-05,-1.627415197,-4.334715379
-9.50E-05,-1.667701601,-4.334715379
-9.50E-05,-1.667701601,-4.334715379
-9.49E-05,-1.667701601,-4.334715379
-9.49E-05,-1.707988005,-4.334715379
-9.49E-05,-1.707988005,-4.37469408
-9.49E-05,-1.707988005,-4.37469408
-9.48E-05,-1.748274409,-4.37469408
-9.48E-05,-1.748274409,-4.37469408
-9.48E-05,-1.748274409,-4.37469408
-9.48E-05,-1.788560813,-4.37469408
-9.47E-05,-1.788560813,-4.37469408
-9.47E-05,-1.788560813,-4.37469408
-9.47E-05,-1.828847217,-4.414672782
-9.47E-05,-1.828847217,-4.37469408
-9.46E-05,-1.869133621,-4.37469408
-9.46E-05,-1.869133621,-4.37469408
-9.46E-05,-1.909420025,-4.37469408
-9.46E-05,-1.909420025,-4.414672782
-9.45E-05,-1.909420025,-4.414672782
-9.45E-05,-1.909420025,-4.414672782
-9.45E-05,-1.949706429,-4.414672782
-9.45E-05,-1.989992833,-4.414672782
-9.44E-05,-1.989992833,-4.414672782
-9.44E-05,-1.989992833,-4.414672782
-9.44E-05,-1.989992833,-4.414672782
-9.44E-05,-2.030279236,-4.414672782
-9.43E-05,-2.030279236,-4.414672782
-9.43E-05,-2.07056564,-4.454651483
-9.43E-05,-2.07056564,-4.454651483
-9.43E-05,-2.07056564,-4.414672782
-9.42E-05,-2.110852044,-4.454651483
-9.42E-05,-2.110852044,-4.454651483
-9.42E-05,-2.110852044,-4.454651483
-9.42E-05,-2.151138448,-4.454651483
-9.41E-05,-2.151138448,-4.454651483
-9.41E-05,-2.151138448,-4.454651483
-9.41E-05,-2.191424852,-4.454651483
-9.41E-05,-2.191424852,-4.454651483
-9.40E-05,-2.231711256,-4.494630185
-9.40E-05,-2.231711256,-4.454651483
-9.40E-05,-2.27199766,-4.494630185
-9.40E-05,-2.27199766,-4.494630185
